id,model,expected,prediction,correct,latency,input_tokens,output_tokens,cost_usd
1,gpt-4o-mini,HR,Technical,False,1.802678800013382,49,2,8.55e-06
2,gpt-4o-mini,Finance,Finance,True,0.981275700032711,51,2,8.85e-06
3,gpt-4o-mini,Technical,Technical,True,0.9208771000267006,48,2,8.4e-06
4,gpt-4o-mini,HR,Finance,False,1.0042001999681816,50,2,8.7e-06
5,gpt-4o-mini,Finance,Finance,True,0.9203838999965228,50,2,8.7e-06
6,gpt-4o-mini,Technical,Technical,True,0.9599151999573223,49,2,8.55e-06
7,gpt-4o-mini,HR,HR,True,1.1415781000396237,50,2,8.7e-06
8,gpt-4o-mini,Finance,Finance,True,0.9561927000177093,50,2,8.7e-06
9,gpt-4o-mini,Technical,Technical,True,0.8592334000277333,50,2,8.7e-06
10,gpt-4o-mini,HR,HR,True,1.0085080999997444,49,2,8.55e-06
1,gpt-5.6,HR,Technical,False,1.81164940004237,48,33,4.92e-05
2,gpt-5.6,Finance,Finance,True,1.206664199999068,50,5,1.6000000000000003e-05
3,gpt-5.6,Technical,Technical,True,1.2645404000068083,47,5,1.54e-05
4,gpt-5.6,HR,HR,True,1.3337628000299446,49,5,1.58e-05
5,gpt-5.6,Finance,Finance,True,1.1168422999908216,49,5,1.58e-05
6,gpt-5.6,Technical,Technical,True,1.9119594999938272,48,5,1.56e-05
7,gpt-5.6,HR,HR,True,1.2413672999828123,49,5,1.58e-05
8,gpt-5.6,Finance,Finance,True,1.2531761000282131,49,5,1.58e-05
9,gpt-5.6,Technical,Technical,True,1.4651260999962687,49,5,1.58e-05
10,gpt-5.6,HR,HR,True,2.189412600011565,48,5,1.56e-05
1,qwen3:1.7b,HR,HR,True,13.832494599977508,51,322,0.0
2,qwen3:1.7b,Finance,Finance,True,4.765294899989385,53,141,0.0
3,qwen3:1.7b,Technical,Technical,True,5.180742399999872,50,165,0.0
4,qwen3:1.7b,HR,Finance,False,5.32422220002627,52,172,0.0
5,qwen3:1.7b,Finance,Finance,True,5.480289300030563,52,180,0.0
6,qwen3:1.7b,Technical,Technical,True,4.588775900017936,52,132,0.0
7,qwen3:1.7b,HR,HR,True,6.91449900000589,52,259,0.0
8,qwen3:1.7b,Finance,Finance,True,6.769759899994824,52,250,0.0
9,qwen3:1.7b,Technical,Technical,True,5.763898599951062,52,198,0.0
10,qwen3:1.7b,HR,HR,True,5.520451200020034,51,192,0.0
